CampaignDayW12,partyContact1W12No,partyContact1W12Yes,partyContact1W12Don't know,partyContactConW12No,partyContactConW12Yes,partyContactConW12Don't know,partyContactLabW12No,partyContactLabW12Yes,partyContactLabW12Don't know,partyContactLDW12No,partyContactLDW12Yes,partyContactLDW12Don't know,partyContactUKIPW12No,partyContactUKIPW12Yes,partyContactUKIPW12Don't know,partyContactOtherPartyW12No,partyContactOtherPartyW12Yes,partyContactOtherPartyW12Don't know,partyContactNoneW12No,partyContactNoneW12Yes,partyContactGrnW12No,partyContactGrnW12Don't know
1,0.6855439892098318,0.24561625040781793,0.06883976038235023,0.5578137362959088,0.43322549345339645,0.008960770250694758,0.4641612891445163,0.5268779406047888,0.008960770250694758,0.6588929021391884,0.33214632761011686,0.008960770250694758,0.9163206211822109,0.07471860856709418,0.008960770250694755,0.944363961262111,0.04667526848719426,0.00896077025069476,0.999176099965546,0.0008239000344540278,0.9910392297493051,0.008960770250694758
2,0.7326607276309777,0.2251627070526049,0.04217656531641743,0.548714538957432,0.43626228403563927,0.01502317700692855,0.4965378669262867,0.48843895606678467,0.015023177006928552,0.6826447043279036,0.3023321186651677,0.015023177006928548,0.9118586964747972,0.07311812651827414,0.015023177006928545,0.8964094712366506,0.08856735175642082,0.015023177006928545,0.9872042172809213,0.012795782719078627,0.9849768229930714,0.015023177006928543
3,0.7283089972168201,0.2273506021673978,0.04434040061578205,0.5384696411783407,0.4476855061484397,0.013844852673219648,0.45057439727629195,0.5355807500504884,0.013844852673219643,0.6887071865888262,0.29744796073795415,0.013844852673219638,0.9474294226635761,0.0387257246632043,0.013844852673219636,0.896971416250009,0.08918373107677136,0.013844852673219632,0.98565448416922,0.014345515830779958,0.9861551473267804,0.013844852673219638
4,0.7412457946516177,0.2155837610980752,0.04317044425030715,0.5564084686339602,0.44359153136603974,0.0,0.4214015816411703,0.5785984183588296,0.0,0.6940827675499885,0.3059172324500114,0.0,0.9478269906520316,0.052173009347968494,0.0,0.9560140806327314,0.043985919367268596,0.0,1.0,0.0,1.0,0.0
5,0.7520516108184381,0.20152951893604706,0.04641887024551477,0.5293446914822671,0.45842861461349893,0.012226693904234039,0.4323022377169399,0.5554710683788262,0.01222669390423404,0.7146287866198918,0.27314451947587415,0.012226693904234037,0.9620489419587351,0.025724364137030956,0.01222669390423404,0.9523658991941806,0.035407406901585434,0.012226693904234039,0.9924763145995825,0.007523685400417473,0.987773306095766,0.012226693904234037
6,0.7264319707863448,0.20777233596836941,0.06579569324528574,0.5493583633567437,0.4458345594713085,0.004807077171947788,0.4497888792843446,0.5454040435437075,0.004807077171947788,0.6774903331176333,0.3177025897104188,0.004807077171947788,0.9699896247050546,0.025203298122997535,0.004807077171947787,0.9505495570652398,0.04464336576281236,0.004807077171947787,0.994542709002865,0.005457290997135072,0.9951929228280522,0.004807077171947787
7,0.7289355605191448,0.2170456719734922,0.054018767507363,0.5362885373401274,0.4498125244552458,0.013898938204626793,0.4454257386340286,0.5406753231613446,0.013898938204626796,0.6171955667164233,0.3689054950789499,0.0138989382046268,0.9180804445562184,0.06802061723915473,0.013898938204626793,0.9592273763015531,0.026873685493820205,0.013898938204626793,0.9746457468677198,0.025354253132280225,0.9861010617953732,0.01389893820462679
8,0.7496441104730955,0.20281265053631922,0.047543238990585254,0.578094390791911,0.37330279441300196,0.048602814795087046,0.38265508158771416,0.5687421036171989,0.04860281479508704,0.7109472114722417,0.24044997373267138,0.048602814795087046,0.9206885532632639,0.030708631941649064,0.04860281479508703,0.9288203553069129,0.022576829898000115,0.04860281479508703,0.9870220296513988,0.01297797034860109,0.951397185204913,0.04860281479508702
9,0.7431923617840832,0.19151072528888657,0.06529691292703024,0.5154985763175697,0.4845014236824304,0.0,0.4290852234552471,0.5709147765447529,0.0,0.7392446583768539,0.2607553416231461,0.0,0.9480140967177403,0.051985903282259785,0.0,0.9890620608788684,0.01093793912113159,0.0,0.9977479231776147,0.002252076822385272,1.0,0.0
10,0.7418199958365478,0.19423792650697538,0.06394207765647683,0.5011617131150179,0.4889279493438002,0.009910337541181861,0.5134152100570688,0.4766744524017494,0.009910337541181861,0.730699996253818,0.25938966620500015,0.009910337541181863,0.9667803040066686,0.023309358452149504,0.009910337541181863,0.9647568136799525,0.025332848778865557,0.009910337541181863,0.9953432419743246,0.004656758025675511,0.9900896624588181,0.009910337541181863
11,0.7350879737837348,0.20860034348028766,0.05631168273597761,0.4995836328718493,0.4570890018733703,0.04332736525478033,0.4814783185863089,0.4751943161589108,0.043327365254780315,0.6963413076732119,0.26033132707200773,0.043327365254780315,0.9105414733321767,0.04613116141304292,0.043327365254780315,0.9437404211726411,0.012932213572578587,0.04332736525478031,1.0,0.0,0.9566726347452197,0.04332736525478031
12,0.7358146749871761,0.20409977825038336,0.060085546762440455,0.5263423482901444,0.4650038009754423,0.00865385073441337,0.44043851283510915,0.5509076364304775,0.008653850734413372,0.7344926195168576,0.2568535297487291,0.008653850734413366,0.9783098776834247,0.013036271582161934,0.008653850734413368,0.9496924554198853,0.04165369384570134,0.008653850734413365,0.9991461130769241,0.0008538869230759131,0.9913461492655867,0.008653850734413368
13,0.7272608229246065,0.21577449320186118,0.05696468387353233,0.4788523039715858,0.5211476960284143,0.0,0.5371367226459344,0.4628632773540656,0.0,0.7794650768082599,0.22053492319174012,0.0,0.9442237078075659,0.05577629219243414,0.0,0.9705085099787824,0.029491490021217617,0.0,1.0,0.0,1.0,0.0
14,0.6783752186939941,0.2395754056099651,0.08204937569604079,0.40674369903958896,0.5864833098829176,0.006772991077493442,0.5284577199188651,0.46476928900364134,0.006772991077493442,0.7008340020577558,0.29239300686475084,0.0067729910774934395,0.9596264974534275,0.033600511469078935,0.006772991077493439,0.9535174420193219,0.039709566903184695,0.006772991077493438,0.9967990447282846,0.0032009552717153426,0.9932270089225066,0.0067729910774934395
15,0.6519841090504378,0.2978573247642014,0.05015856618536089,0.4557992679421916,0.5188283886930949,0.025372343364713598,0.434736223473355,0.5398914331619313,0.025372343364713598,0.7414333654669175,0.23319429116836884,0.02537234336471359,0.9417938636683968,0.032833792966889715,0.025372343364713598,0.9479872397081973,0.02664041692708898,0.025372343364713598,0.9981819140562155,0.0018180859437843895,0.9746276566352864,0.0253723433647136
16,0.6347027464308754,0.31205560019076817,0.05324165337835643,0.4464819328426804,0.5495379964949981,0.003980070662321398,0.41446112479276065,0.5815588045449179,0.003980070662321397,0.7581708097237381,0.23784911961394042,0.003980070662321395,0.9693474778681993,0.026672451469479268,0.003980070662321399,0.9653293069015244,0.030690622436154107,0.003980070662321398,1.0,0.0,0.9960199293376785,0.003980070662321399
17,0.5948768912806994,0.346697626142594,0.05842548257670652,0.491060198435272,0.5072351993026386,0.0017046022620894274,0.3714933758658438,0.6268020218720668,0.0017046022620894274,0.7074187414728469,0.29087665626506365,0.0017046022620894267,0.9779545953948605,0.02034080234305004,0.001704602262089426,0.9510093730027266,0.04728602473518387,0.0017046022620894258,0.998663572083552,0.001336427916447893,0.9982953977379105,0.001704602262089426
18,0.6044963807990494,0.3341143152933262,0.061389303907624315,0.43531065234118227,0.5581594235568778,0.0065299241019398145,0.39592188725534655,0.5975481886427135,0.006529924101939813,0.7144244141190647,0.2790456617789956,0.006529924101939813,0.9507748826641154,0.04269519323394477,0.006529924101939814,0.9230431467028113,0.0704269291952488,0.006529924101939818,0.9929909311704674,0.007009068829532671,0.9934700758980601,0.006529924101939818
19,0.6242215933261992,0.3409883266124317,0.034790080061369175,0.4129963238326743,0.57587055713436,0.01113311903296573,0.3831269517206383,0.6057399292463959,0.011133119032965726,0.6752118443664898,0.31365503660054433,0.01113311903296573,0.949164586873048,0.039702294093986304,0.011133119032965726,0.942542797091101,0.046324083875933376,0.011133119032965724,0.9977283589761173,0.002271641023882584,0.9888668809670343,0.011133119032965723
20,0.6075624288693582,0.3227670848720438,0.06967048625859797,0.46974046217104126,0.516601524437287,0.013658013391671813,0.3714922128838901,0.6148497737244382,0.013658013391671817,0.6486314573430696,0.33771052926525874,0.013658013391671813,0.9015524085742027,0.08478957803412557,0.013658013391671818,0.9344214397694759,0.05192054683885243,0.013658013391671818,0.9955957774268221,0.004404222573177948,0.9863419866083282,0.013658013391671818
21,0.5975785808236443,0.32736085995050146,0.07506055922585415,0.44653865096120277,0.5440681162120045,0.00939323282679284,0.36105607775304216,0.6295506894201648,0.00939323282679284,0.6452326383768939,0.3453741287963132,0.009393232826792842,0.9096850700834775,0.0809216970897295,0.009393232826792835,0.935735401620845,0.054871365552362085,0.009393232826792835,0.997503894793294,0.0024961052067059425,0.9906067671732071,0.009393232826792832
22,0.5742120234562849,0.37928234043522463,0.046505636108490456,0.47008436067663256,0.4880298427069606,0.04188579661640689,0.33142680700889043,0.6266873963747027,0.041885796616406894,0.6035324368397863,0.3545817665438068,0.04188579661640691,0.9069317473675218,0.05118245601607129,0.041885796616406894,0.9016331523866183,0.05648105099697476,0.041885796616406894,0.9866011189128956,0.01339888108710438,0.9581142033835931,0.04188579661640689
23,0.5715003413947715,0.3655223558912224,0.06297730271400616,0.49798507243177864,0.4793936515187275,0.02262127604949396,0.3161701770411902,0.6612085469093159,0.022621276049493957,0.6411757182999418,0.3362030056505643,0.022621276049493957,0.9088371864098983,0.06854153754060775,0.02262127604949396,0.9275690255070779,0.049809698443428196,0.02262127604949397,0.9951046262335261,0.0048953737664739145,0.9773787239505061,0.022621276049493964
24,0.5733630957461177,0.3534548432717684,0.0731820609821138,0.44488080101509353,0.5360760567046957,0.01904314228021071,0.2824498604202972,0.6985069972994921,0.01904314228021071,0.6604957598813245,0.32046109783846477,0.019043142280210708,0.879861056008326,0.10109580171146333,0.01904314228021071,0.9185418950939782,0.062414962625811095,0.019043142280210708,0.9924851666988096,0.007514833301190385,0.9809568577197892,0.019043142280210708
25,0.5922152029789508,0.34074100289439024,0.06704379412665896,0.5063008162099998,0.46934892042949905,0.02435026336050131,0.3185104842306337,0.657139252408865,0.024350263360501327,0.5714046863230295,0.4042450503164691,0.024350263360501303,0.8940928279418707,0.08155690869762794,0.02435026336050133,0.9088764831777701,0.0667732534617286,0.024350263360501327,0.9886294432086523,0.011370556791347705,0.9756497366394987,0.024350263360501327
26,0.6026194110979901,0.3393287922193175,0.05805179668269224,0.4291311940104486,0.5666350598787507,0.004233746110800701,0.3022161668205678,0.6935500870686314,0.004233746110800698,0.6366848311500207,0.3590814227391784,0.0042337461108007,0.9038490067231545,0.09191724716604487,0.0042337461108007,0.9378902876346534,0.05787596625454587,0.004233746110800699,0.9989595170542158,0.0010404829457842464,0.9957662538891993,0.004233746110800697
27,0.5651885815865093,0.3791233736842446,0.05568804472924609,0.39410756254948426,0.5903732870933686,0.015519150357147194,0.2904079234428743,0.6940729261999785,0.015519150357147194,0.5015942145663129,0.4828866350765399,0.015519150357147193,0.8387551082455404,0.14572574139731231,0.015519150357147184,0.910066598000242,0.07441425164261073,0.015519150357147198,1.0,0.0,0.9844808496428528,0.0155191503571472
28,0.5468458353721364,0.394015555072332,0.05913860955553162,0.4016521291242401,0.5781198414394324,0.020228029436327424,0.28955416706445886,0.6902178034992137,0.020228029436327427,0.5990312107527187,0.38074075981095395,0.020228029436327424,0.8618919977729951,0.11787997279067747,0.020228029436327424,0.9026274390001116,0.07714453156356095,0.02022802943632743,0.9819772207433595,0.01802277925664048,0.9797719705636726,0.020228029436327438
29,0.5392527925506385,0.4019535609346685,0.05879364651469297,0.37606011965001385,0.6178205061097043,0.006119374240281844,0.24812134786901494,0.7457592778907032,0.006119374240281847,0.547293878294266,0.4465867474654521,0.006119374240281845,0.8900278024719558,0.10385282328776232,0.006119374240281845,0.9150853528416507,0.07879527291806739,0.006119374240281849,0.9974579087582656,0.002542091241734354,0.9938806257597181,0.006119374240281845
30,0.5382603277362058,0.4000976440722564,0.061642028191537857,0.31259929262476543,0.6738486785746972,0.013552028800537236,0.30128377693215846,0.6851641942673043,0.013552028800537238,0.5793449952564738,0.407102975942989,0.013552028800537241,0.8371132863440954,0.14933468485536724,0.013552028800537236,0.8910194235037828,0.0954285476956799,0.01355202880053724,1.0,0.0,0.9864479711994627,0.013552028800537238
31,0.5424941499877763,0.3870699799992253,0.07043587001299846,0.31638742857408,0.6671045562868111,0.016508015139108892,0.26999184801768944,0.7135001368432017,0.016508015139108885,0.5567428098146973,0.42674917504619386,0.016508015139108892,0.8490220321369638,0.13446995272392723,0.016508015139108892,0.8861883853973574,0.09730359946353362,0.0165080151391089,0.9964974724729149,0.003502527527085109,0.9834919848608911,0.0165080151391089
32,0.5517115876388211,0.39293507144339557,0.05535334091778326,0.293659846260491,0.6903630805636191,0.01597707317588982,0.24719736239682283,0.7368255644272874,0.015977073175889825,0.5193757814402725,0.4646471453838377,0.01597707317588982,0.8248351882471892,0.15918773857692106,0.01597707317588983,0.8844616941226948,0.09956123270141533,0.015977073175889825,0.9953553426798758,0.004644657320124217,0.9840229268241102,0.01597707317588982
33,0.560185141016266,0.40693638430802637,0.032878474675707474,0.34363097775270285,0.6397162358590864,0.016652786388210782,0.2762845579083773,0.7070626557034119,0.016652786388210775,0.5515913870036511,0.4317558266081381,0.016652786388210775,0.8856332920348792,0.0977139215769101,0.016652786388210775,0.9187650598450753,0.064582153766714,0.016652786388210775,0.9970026426071257,0.002997357392874371,0.9833472136117892,0.01665278638821077
34,0.5382634794999804,0.42582581810167824,0.03591070239834142,0.2866747599066343,0.6991915764056382,0.014133663687727477,0.2780226542083835,0.707843682103889,0.014133663687727477,0.5385769470611925,0.44728938925107997,0.014133663687727482,0.8476801985290849,0.13818613778318756,0.014133663687727477,0.9084221922582223,0.07744414405405026,0.014133663687727479,0.9990924516634636,0.0009075483365363836,0.9858663363122725,0.014133663687727484
