"","i","code","constituency","Con","Lab","LD","Brexit","Green","SNP","PC","Other"
"422","422","E14000951","South West Hertfordshire","46","15","16"," 0"," 3"," 0"," 0","20"
"423","423","E14000952","South West Norfolk","62","22","10"," 0"," 3"," 0"," 0"," 3"
"424","424","E14000953","South West Surrey","57","10","33"," 0"," 0"," 0"," 0"," 0"
"425","425","E14000954","South West Wiltshire","56","20","20"," 0"," 4"," 0"," 0"," 0"
"426","426","E14000955","Southampton, Itchen","49","39"," 6"," 0"," 3"," 0"," 0"," 2"
"427","427","E14000956","Southampton, Test","34","49"," 7"," 5"," 3"," 0"," 0"," 2"
"428","428","E14000957","Southend West","58","28","12"," 0"," 0"," 0"," 0"," 2"
"429","429","E14000958","Southport","46","31","23"," 0"," 0"," 0"," 0"," 0"
"430","430","E14000959","Spelthorne","57","24","15"," 0"," 4"," 0"," 0"," 0"
"431","431","E14000960","St Albans","37","10","49"," 0"," 3"," 0"," 0"," 2"
"432","432","E14000961","St Austell and Newquay","53","21","20"," 0"," 3"," 0"," 0"," 2"
"433","433","E14000962","St Helens North","27","47"," 7","15"," 5"," 0"," 0"," 0"
"434","434","E14000963","St Helens South and Whiston","24","48"," 8","12"," 6"," 0"," 0"," 2"
"435","435","E14000964","St Ives","46","10","40"," 0"," 2"," 0"," 0"," 2"
"436","436","E14000965","Stafford","55","33"," 8"," 0"," 4"," 0"," 0"," 0"
"437","437","E14000966","Staffordshire Moorlands","60","28"," 9"," 0"," 3"," 0"," 0"," 0"
"438","438","E14000967","Stalybridge and Hyde","39","43"," 6"," 7"," 4"," 0"," 0"," 1"
"439","439","E14000968","Stevenage","51","34","10"," 0"," 4"," 0"," 0"," 0"
"440","440","E14000969","Stockport","27","48","11"," 8"," 5"," 0"," 0"," 0"
"441","441","E14000970","Stockton North","39","42"," 6","11"," 0"," 0"," 0"," 2"
"442","442","E14000971","Stockton South","47","41"," 6"," 6"," 0"," 0"," 0"," 0"
"443","443","E14000972","Stoke-on-Trent Central","40","39"," 5","13"," 4"," 0"," 0"," 0"
"444","444","E14000973","Stoke-on-Trent North","42","37"," 5","11"," 3"," 0"," 0"," 2"
"445","445","E14000974","Stoke-on-Trent South","56","38"," 6"," 0"," 0"," 0"," 0"," 0"
"446","446","E14000975","Stone","64","20","12"," 0"," 4"," 0"," 0"," 0"
"447","447","E14000976","Stourbridge","57","30"," 7"," 0"," 3"," 0"," 0"," 3"
"448","448","E14000977","Stratford-on-Avon","56","12","29"," 0"," 3"," 0"," 0"," 0"
"449","449","E14000978","Streatham","14","52","24"," 3"," 7"," 0"," 0"," 0"
"450","450","E14000979","Stretford and Urmston","27","55"," 8"," 6"," 4"," 0"," 0"," 0"
"451","451","E14000980","Stroud","47","43"," 0"," 3"," 7"," 0"," 0"," 1"
"452","452","E14000981","Suffolk Coastal","52","23","18"," 0"," 4"," 0"," 0"," 2"
"453","453","E14000982","Sunderland Central","31","46"," 6","12"," 3"," 0"," 0"," 2"
"454","454","E14000983","Surrey Heath","55","12","27"," 0"," 4"," 0"," 0"," 2"
"455","455","E14000984","Sutton and Cheam","52","12","32"," 0"," 4"," 0"," 0"," 0"
"456","456","E14000985","Sutton Coldfield","59","24","14"," 0"," 3"," 0"," 0"," 0"
"457","457","E14000986","Tamworth","59","28"," 8"," 0"," 3"," 0"," 0"," 3"
"458","458","E14000987","Tatton","56","20","20"," 0"," 4"," 0"," 0"," 0"
"459","459","E14000988","Taunton Deane","54"," 9","34"," 0"," 0"," 0"," 0"," 3"
"460","460","E14000989","Telford","55","38"," 7"," 0"," 0"," 0"," 0"," 0"
"461","461","E14000990","Tewkesbury","57","16","23"," 0"," 4"," 0"," 0"," 0"
"462","462","E14000991","The Cotswolds","55","13","28"," 0"," 4"," 0"," 0"," 0"
"463","463","E14000992","The Wrekin","59","30"," 8"," 0"," 3"," 0"," 0"," 0"
"464","464","E14000993","Thirsk and Malton","60","16","16"," 0"," 4"," 0"," 0"," 3"
"465","465","E14000994","Thornbury and Yate","52"," 8","40"," 0"," 0"," 0"," 0"," 0"
"466","466","E14000995","Thurrock","56","32"," 5"," 0"," 3"," 0"," 0"," 4"
"467","467","E14000996","Tiverton and Honiton","57","19","16"," 0"," 5"," 0"," 0"," 2"
"468","468","E14000997","Tonbridge and Malling","63","15","17"," 0"," 5"," 0"," 0"," 0"
"469","469","E14000998","Tooting","25","51","15"," 2"," 4"," 0"," 0"," 1"
"470","470","E14000999","Torbay","58","11","25"," 0"," 3"," 0"," 0"," 3"
"471","471","E14001000","Torridge and West Devon","54","16","23"," 0"," 5"," 0"," 0"," 2"
"472","472","E14001001","Totnes","50","17","31"," 0"," 0"," 0"," 0"," 3"
"473","473","E14001002","Tottenham","12","68"," 9"," 3"," 6"," 0"," 0"," 1"
"474","474","E14001003","Truro and Falmouth","46","33","15"," 0"," 3"," 0"," 0"," 2"
"475","475","E14001004","Tunbridge Wells","51","18","29"," 0"," 0"," 0"," 0"," 3"
"476","476","E14001005","Twickenham","32"," 8","58"," 2"," 0"," 0"," 0"," 0"
"477","477","E14001006","Tynemouth","39","46"," 6"," 6"," 3"," 0"," 0"," 0"
"478","478","E14001007","Uxbridge and South Ruislip","50","37"," 7"," 0"," 3"," 0"," 0"," 2"
"479","479","E14001008","Vauxhall","14","51","25"," 3"," 6"," 0"," 0"," 1"
"480","480","E14001009","Wakefield","47","36"," 6"," 9"," 0"," 0"," 0"," 2"
"481","481","E14001010","Wallasey","26","56"," 7"," 7"," 3"," 0"," 0"," 0"
"482","482","E14001011","Walsall North","57","35"," 5"," 0"," 3"," 0"," 0"," 0"
"483","483","E14001012","Walsall South","39","43"," 6"," 8"," 3"," 0"," 0"," 2"
"484","484","E14001013","Walthamstow","15","67"," 8"," 4"," 5"," 0"," 0"," 1"
"485","485","E14001014","Wansbeck","32","44"," 9"," 9"," 4"," 0"," 0"," 2"
"486","486","E14001015","Wantage","47","19","32"," 0"," 0"," 0"," 0"," 3"
"487","487","E14001016","Warley","30","51"," 5"," 9"," 4"," 0"," 0"," 0"
"488","488","E14001017","Warrington North","36","42"," 9","10"," 4"," 0"," 0"," 0"
"489","489","E14001018","Warrington South","45","41"," 9"," 4"," 0"," 0"," 0"," 1"
"490","490","E14001019","Warwick and Leamington","42","39","12"," 3"," 3"," 0"," 0"," 1"
"491","491","E14001020","Washington and Sunderland West","29","45"," 6","15"," 3"," 0"," 0"," 2"
"492","492","E14001021","Watford","48","32","19"," 0"," 0"," 0"," 0"," 2"
"493","493","E14001022","Waveney","57","29"," 7"," 0"," 5"," 0"," 0"," 2"
"494","494","E14001023","Wealden","61","14","20"," 0"," 5"," 0"," 0"," 0"
"495","495","E14001024","Weaver Vale","42","42"," 8"," 5"," 3"," 0"," 0"," 0"
"496","496","E14001025","Wellingborough","58","30"," 9"," 0"," 4"," 0"," 0"," 0"
"497","497","E14001026","Wells","51"," 8","40"," 0"," 0"," 0"," 0"," 1"
"498","498","E14001027","Welwyn Hatfield","51","32","13"," 0"," 4"," 0"," 0"," 0"
"499","499","E14001028","Wentworth and Dearne","33","45"," 6","14"," 0"," 0"," 0"," 2"
"500","500","E14001029","West Bromwich East","40","39"," 7"," 9"," 3"," 0"," 0"," 2"
"501","501","E14001030","West Bromwich West","41","38"," 6","13"," 3"," 0"," 0"," 0"
"502","502","E14001031","West Dorset","53","12","31"," 0"," 4"," 0"," 0"," 0"
"503","503","E14001032","West Ham","18","61","11"," 5"," 4"," 0"," 0"," 1"
"504","504","E14001033","West Lancashire","37","47"," 6"," 7"," 3"," 0"," 0"," 0"
"505","505","E14001034","West Suffolk","63","23","10"," 0"," 4"," 0"," 0"," 0"
"506","506","E14001035","West Worcestershire","58","16","21"," 0"," 5"," 0"," 0"," 0"
"507","507","E14001036","Westminster North","30","49","14"," 2"," 3"," 0"," 0"," 1"
"508","508","E14001037","Westmorland and Lonsdale","42"," 7","47"," 4"," 0"," 0"," 0"," 0"
"509","509","E14001038","Weston-Super-Mare","53","28","15"," 0"," 4"," 0"," 0"," 0"
"510","510","E14001039","Wigan","30","44"," 6","16"," 4"," 0"," 0"," 0"
"511","511","E14001040","Wimbledon","43","26","30"," 0"," 0"," 0"," 0"," 2"
"512","512","E14001041","Winchester","47"," 7","44"," 0"," 0"," 0"," 0"," 2"
"513","513","E14001042","Windsor","54","15","25"," 0"," 4"," 0"," 0"," 2"
"514","514","E14001043","Wirral South","39","45"," 8"," 5"," 3"," 0"," 0"," 0"
"515","515","E14001044","Wirral West","39","45"," 8"," 6"," 2"," 0"," 0"," 0"
"516","516","E14001045","Witham","63","18","13"," 0"," 6"," 0"," 0"," 0"
"517","517","E14001046","Witney","52","17","31"," 0"," 0"," 0"," 0"," 0"
"518","518","E14001047","Woking","49","15","31"," 0"," 3"," 0"," 0"," 2"
"519","519","E14001048","Wokingham","46","12","36"," 0"," 4"," 0"," 0"," 1"
"520","520","E14001049","Wolverhampton North East","43","39"," 5","10"," 3"," 0"," 0"," 0"
"521","521","E14001050","Wolverhampton South East","36","45"," 6","11"," 3"," 0"," 0"," 0"
"522","522","E14001051","Wolverhampton South West","47","41"," 7"," 5"," 0"," 0"," 0"," 0"
"523","523","E14001052","Worcester","49","34","10"," 0"," 4"," 0"," 0"," 2"
"524","524","E14001053","Workington","41","40"," 6"," 9"," 2"," 0"," 0"," 1"
"525","525","E14001054","Worsley and Eccles South","39","42"," 7"," 8"," 4"," 0"," 0"," 0"
"526","526","E14001055","Worthing West","53","28","12"," 0"," 4"," 0"," 0"," 3"
"527","527","E14001056","Wycombe","47","34","14"," 0"," 3"," 0"," 0"," 2"
"528","528","E14001057","Wyre and Preston North","55","30","10"," 0"," 3"," 0"," 0"," 2"
"529","529","E14001058","Wyre Forest","59","27"," 9"," 0"," 4"," 0"," 0"," 0"
"530","530","E14001059","Wythenshawe and Sale East","26","51"," 8"," 9"," 4"," 0"," 0"," 1"
"531","531","E14001060","Yeovil","53"," 9","31"," 0"," 4"," 0"," 0"," 2"
"532","532","E14001061","York Central","27","52","10"," 5"," 4"," 0"," 0"," 1"
"533","533","E14001062","York Outer","47","26","25"," 0"," 0"," 0"," 0"," 2"
"534","574","S14000001","Aberdeen North","20","19"," 9"," 3"," 3","44"," 0"," 0"
"535","575","S14000002","Aberdeen South","39","11","14"," 0"," 0","36"," 0"," 0"
"536","576","S14000003","Airdrie and Shotts","22","29"," 7"," 0"," 3","40"," 0"," 0"
"537","577","S14000004","Angus","44"," 6"," 7"," 0"," 0","43"," 0"," 0"
"538","578","S14000005","Argyll and Bute","34"," 7","20"," 0"," 0","39"," 0"," 0"
"539","579","S14000006","Ayr, Carrick and Cumnock","42","13"," 7"," 0"," 0","38"," 0"," 0"
"540","580","S14000007","Banff and Buchan","49"," 6"," 7"," 0"," 0","38"," 0"," 0"
"541","581","S14000008","Berwickshire, Roxburgh and Selkirk","49"," 6","11"," 0"," 0","34"," 0"," 0"
"542","582","S14000009","Caithness, Sutherland and Easter Ross","25"," 6","32"," 5"," 0","33"," 0"," 0"
"543","583","S14000010","Central Ayrshire","36","14"," 8"," 0"," 0","42"," 0"," 0"
"544","584","S14000011","Coatbridge, Chryston and Bellshill","16","39"," 5"," 0"," 2","38"," 0"," 0"
"545","585","S14000012","Cumbernauld, Kilsyth and Kirkintilloch East","21","24"," 7"," 0"," 0","48"," 0"," 0"
"546","586","S14000013","Dumfries and Galloway","45","11"," 8"," 0"," 0","36"," 0"," 0"
"547","587","S14000014","Dumfriesshire, Clydesdale and Tweeddale","48","10"," 9"," 0"," 0","33"," 0"," 0"
"548","588","S14000015","Dundee East","27","13","10"," 0"," 0","48"," 0"," 2"
"549","589","S14000016","Dundee West","17","24"," 8"," 4"," 0","46"," 0"," 2"
"550","590","S14000017","Dunfermline and West Fife","25","24","11"," 0"," 3","38"," 0"," 0"
"551","591","S14000018","East Dunbartonshire","17"," 8","38"," 0"," 3","33"," 0"," 2"
"552","592","S14000019","East Kilbride, Strathaven and Lesmahagow","23","22"," 8"," 0"," 3","42"," 0"," 2"
"553","593","S14000020","East Lothian","26","29","10"," 0"," 0","34"," 0"," 2"
"554","594","S14000021","East Renfrewshire","38","12","11"," 0"," 0","39"," 0"," 0"
"555","595","S14000022","Edinburgh East","16","25","10"," 0"," 5","45"," 0"," 0"
"556","596","S14000023","Edinburgh North and Leith","21","18","12"," 2"," 5","41"," 0"," 2"
"557","597","S14000024","Edinburgh South","15","49","10"," 0"," 3","23"," 0"," 0"
"558","598","S14000025","Edinburgh South West","27","12","11"," 2"," 4","43"," 0"," 1"
"559","599","S14000026","Edinburgh West","20"," 9","34"," 0"," 4","34"," 0"," 0"
"560","620","S14000027","Na h-Eileanan an Iar","21","25"," 6"," 0"," 0","48"," 0"," 0"
"561","600","S14000028","Falkirk","27","18"," 8"," 0"," 3","44"," 0"," 0"
"562","601","S14000029","Glasgow Central","16","27"," 8"," 0"," 4","45"," 0"," 0"
"563","602","S14000030","Glasgow East","19","34"," 6"," 0"," 0","41"," 0"," 0"
"564","603","S14000031","Glasgow North","13","26"," 8"," 2"," 7","44"," 0"," 0"
"565","604","S14000032","Glasgow North East","14","34"," 5"," 0"," 0","47"," 0"," 0"
"566","605","S14000033","Glasgow North West","17","25"," 9"," 0"," 0","49"," 0"," 0"
"567","606","S14000034","Glasgow South","17","23"," 8"," 2"," 4","47"," 0"," 0"
"568","607","S14000035","Glasgow South West","16","29"," 6"," 3"," 0","46"," 0"," 0"
"569","608","S14000036","Glenrothes","21","20"," 9"," 4"," 0","46"," 0"," 0"
"570","609","S14000037","Gordon","40"," 7","15"," 0"," 0","38"," 0"," 0"
"571","610","S14000038","Inverclyde","20","29"," 7"," 0"," 0","44"," 0"," 0"
"572","611","S14000039","Inverness, Nairn, Badenoch and Strathspey","27"," 6","13"," 4"," 3","47"," 0"," 0"
"573","612","S14000040","Kilmarnock and Loudoun","28","16"," 7"," 0"," 0","46"," 0"," 2"
"574","613","S14000041","Kirkcaldy and Cowdenbeath","22","29"," 7"," 4"," 3","36"," 0"," 0"
"575","614","S14000042","Lanark and Hamilton East","34","18"," 9"," 0"," 0","38"," 0"," 0"
"576","615","S14000043","Linlithgow and East Falkirk","27","18"," 8"," 3"," 3","41"," 0"," 1"
"577","616","S14000044","Livingston","25","22"," 8"," 0"," 3","43"," 0"," 0"
"578","617","S14000045","Midlothian","24","31"," 8"," 0"," 0","38"," 0"," 0"
"579","618","S14000046","Moray","46"," 6"," 6"," 0"," 0","41"," 0"," 1"
"580","619","S14000047","Motherwell and Wishaw","20","29"," 6"," 0"," 0","43"," 0"," 2"
"581","621","S14000048","North Ayrshire and Arran","31","14"," 9"," 0"," 3","44"," 0"," 0"
"582","622","S14000049","North East Fife","21"," 6","35"," 0"," 0","37"," 0"," 0"
"583","623","S14000050","Ochil and South Perthshire","41"," 9"," 8"," 0"," 0","40"," 0"," 2"
"584","624","S14000051","Orkney and Shetland","15"," 7","42"," 4"," 0","31"," 0"," 2"
"585","625","S14000052","Paisley and Renfrewshire North","26","20"," 9"," 0"," 0","45"," 0"," 0"
"586","626","S14000053","Paisley and Renfrewshire South","20","25"," 7"," 0"," 0","48"," 0"," 0"
"587","627","S14000054","Perth and North Perthshire","37"," 6"," 9"," 2"," 0","46"," 0"," 0"
"588","628","S14000055","Ross, Skye and Lochaber","19"," 6","24"," 5"," 0","46"," 0"," 2"
"589","629","S14000056","Rutherglen and Hamilton West","20","32"," 7"," 0"," 0","38"," 0"," 2"
"590","630","S14000057","Stirling","36","11"," 8"," 0"," 3","42"," 0"," 0"
"591","631","S14000058","West Aberdeenshire and Kincardine","47"," 6","13"," 0"," 0","34"," 0"," 0"
"592","632","S14000059","West Dunbartonshire","17","29"," 6"," 0"," 3","43"," 0"," 2"
"593","534","W07000041","Ynys M<f4>n","35","28"," 0"," 9"," 0"," 0","28"," 0"
"594","535","W07000042","Delyn","43","43"," 5"," 6"," 0"," 0"," 3"," 0"
"595","536","W07000043","Alyn and Deeside","42","42"," 6"," 7"," 0"," 0"," 3"," 0"
"596","537","W07000044","Wrexham","42","38"," 6"," 7"," 2"," 0"," 4"," 0"
"597","538","W07000045","Llanelli","27","43"," 0","14"," 0"," 0","16"," 0"
"598","539","W07000046","Gower","42","43"," 6"," 5"," 0"," 0"," 3"," 0"
"599","540","W07000047","Swansea West","30","53"," 7"," 7"," 0"," 0"," 4"," 0"
"600","541","W07000048","Swansea East","26","49"," 6","11"," 3"," 0"," 5"," 0"
"601","542","W07000049","Aberavon","22","48"," 6","14"," 3"," 0"," 7"," 2"
"602","543","W07000050","Cardiff Central","19","61","14"," 4"," 0"," 0"," 0"," 2"
"603","544","W07000051","Cardiff North","35","47"," 8"," 4"," 2"," 0"," 4"," 1"
"604","545","W07000052","Rhondda","16","46"," 4","12"," 2"," 0","20"," 0"
"605","546","W07000053","Torfaen","31","45"," 5","12"," 2"," 0"," 4"," 0"
"606","547","W07000054","Monmouth","51","35"," 8"," 0"," 2"," 0"," 3"," 1"
"607","548","W07000055","Newport East","35","45"," 6"," 8"," 2"," 0"," 3"," 0"
"608","549","W07000056","Newport West","39","43"," 6"," 7"," 3"," 0"," 3"," 0"
"609","550","W07000057","Arfon","17","29"," 0"," 6"," 0"," 0","48"," 0"
"610","551","W07000058","Aberconwy","47","41"," 6"," 0"," 0"," 0"," 7"," 0"
"611","552","W07000059","Clwyd West","51","34"," 8"," 0"," 0"," 0"," 7"," 0"
"612","553","W07000060","Vale of Clwyd","43","41"," 6"," 6"," 0"," 0"," 3"," 0"
"613","554","W07000061","Dwyfor Meirionnydd","28","11"," 0","10"," 0"," 0","52"," 0"
"614","555","W07000062","Clwyd South","43","41"," 6"," 6"," 0"," 0"," 4"," 0"
"615","556","W07000063","Montgomeryshire","53","15","31"," 0"," 0"," 0"," 0"," 2"
"616","557","W07000064","Ceredigion","21","13","22"," 8"," 3"," 0","32"," 0"
"617","558","W07000065","Preseli Pembrokeshire","49","42"," 5"," 0"," 0"," 0"," 4"," 0"
"618","559","W07000066","Carmarthen West and Pembrokeshire South","51","37"," 5"," 0"," 0"," 0"," 6"," 0"
"619","560","W07000067","Carmarthen East and Dinefwr","29","21"," 0","10"," 0"," 0","40"," 0"
"620","561","W07000068","Brecon and Radnorshire","49","14","35"," 0"," 0"," 0"," 0"," 2"
"621","562","W07000069","Neath","27","45"," 4","11"," 2"," 0"," 9"," 1"
"622","563","W07000070","Cynon Valley","23","47"," 5","14"," 0"," 0"," 9"," 2"
"623","564","W07000071","Merthyr Tydfil and Rhymney","23","51"," 5","13"," 0"," 0"," 7"," 2"
"624","565","W07000072","Blaenau Gwent","19","43"," 5","15"," 2"," 0","17"," 0"
"625","566","W07000073","Bridgend","41","43"," 5"," 5"," 2"," 0"," 4"," 0"
"626","567","W07000074","Ogmore","25","48"," 6","13"," 2"," 0"," 6"," 0"
"627","568","W07000075","Pontypridd","25","48"," 0"," 9"," 0"," 0","15"," 3"
"628","569","W07000076","Caerphilly","28","47"," 0","13"," 0"," 0","12"," 0"
"629","570","W07000077","Islwyn","27","44"," 5","14"," 2"," 0"," 6"," 0"
"630","571","W07000078","Vale of Glamorgan","51","39"," 0"," 0"," 7"," 0"," 0"," 2"
"631","572","W07000079","Cardiff West","27","48"," 8"," 5"," 2"," 0"," 8"," 0"
"632","573","W07000080","Cardiff South and Penarth","28","50"," 8"," 6"," 3"," 0"," 5"," 0"
