Constituency,PANO,ONSConstID,Constituency,Region,Estimated declaration time,Day,Day/Time,CON,LAB,LIBDEM,GRN,SNP,PC,BXP,UKIP,OTHER,Registered Voters,Turnout
Ealing Southall,220,E14000676,Ealing Southall,London,03:00,5-Friday,5-Friday 03:00,9594,25678,3933,1688,,,867,,457,64580,65.37%
Easington,221,E14000677,Easington,North East,03:00,5-Friday,5-Friday 03:00,9142,15723,1526,,,,6744,,1448,61182,56.52%
Eastbourne,225,E14000684,Eastbourne,South East,03:00,5-Friday,5-Friday 03:00,26951,3848,22620,,,,1530,,185,79307,69.52%
Eastleigh,226,E14000685,Eastleigh,South East,03:00,5-Friday,5-Friday 03:00,32690,7559,17083,1639,,,,,0,83880,70.30%
Edmonton,233,E14000687,Edmonton,London,03:00,5-Friday,5-Friday 03:00,10202,26217,2145,862,,,840,,75,65568,61.53%
Epsom & Ewell,240,E14000694,Epsom & Ewell,South East,03:00,5-Friday,5-Friday 03:00,31819,10226,13946,2047,,,,,1413,81138,73.27%
Erewash,241,E14000695,Erewash,East Midlands,03:00,5-Friday,5-Friday 03:00,27560,16954,2487,1115,,,,,122,72519,66.52%
Esher & Walton,243,E14000697,Esher & Walton,South East,03:00,5-Friday,5-Friday 03:00,31132,2838,28389,,,,,,725,81184,77.70%
Fareham,246,E14000699,Fareham,South East,03:00,5-Friday,5-Friday 03:00,36459,10373,8006,2412,,,,,0,78337,73.08%
Forest of Dean,254,E14000705,Forest of Dean,South West,03:00,5-Friday,5-Friday 03:00,30680,14811,,4681,,,,,1303,71438,72.06%
Garston & Halewood,258,E14000708,Garston & Halewood,North West,03:00,5-Friday,5-Friday 03:00,6954,38578,3324,1183,,,2943,,344,76116,70.06%
Gedling,260,E14000710,Gedling,East Midlands,03:00,5-Friday,5-Friday 03:00,22718,22039,2279,1097,,,1820,,0,71438,69.92%
Gloucester,270,E14000712,Gloucester,South West,03:00,5-Friday,5-Friday 03:00,29159,18882,4338,1385,,,,,0,81332,66.10%
Grantham & Stamford,274,E14000714,Grantham & Stamford,East Midlands,03:00,5-Friday,5-Friday 03:00,36794,10791,6153,2265,,,,,0,81502,68.71%
Great Grimsby,276,E14000716,Great Grimsby,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,18150,10819,1070,514,,,2378,,156,61409,53.88%
Great Yarmouth,277,E14000717,Great Yarmouth,East,03:00,5-Friday,5-Friday 03:00,28593,10930,1661,1064,,,,,785,71957,59.80%
Guildford,279,E14000719,Guildford,South East,03:00,5-Friday,5-Friday 03:00,26375,4515,22980,,,,,,4839,77729,75.53%
Hammersmith,286,E14000726,Hammersmith,London,03:00,5-Friday,5-Friday 03:00,12227,30074,6947,1744,,,974,,0,74759,69.51%
Hemel Hempstead,302,E14000739,Hemel Hempstead,East,03:00,5-Friday,5-Friday 03:00,28968,14405,6317,1581,,,,,0,73737,69.53%
Heywood & Middleton,313,E14000747,Heywood & Middleton,North West,03:00,5-Friday,5-Friday 03:00,20453,19790,2073,1220,,,3952,,0,80162,59.24%
High Peak,314,E14000748,High Peak,East Midlands,03:00,5-Friday,5-Friday 03:00,24844,24254,2750,1148,,,1177,,0,74343,72.87%
Hornchurch & Upminster,317,E14000751,Hornchurch & Upminster,London,03:00,5-Friday,5-Friday 03:00,35495,12187,3862,1920,,,,,510,80765,66.83%
Hyndburn,327,E14000758,Hyndburn,North West,03:00,5-Friday,5-Friday 03:00,20565,17614,1226,845,,,2156,,0,70910,59.80%
Isle of Wight,333,E14000762,Isle of Wight,South East,03:00,5-Friday,5-Friday 03:00,41815,18078,,11338,,,,,2337,113021,65.09%
Islington North,334,E14000763,Islington North,London,03:00,5-Friday,5-Friday 03:00,5483,34603,8415,4326,,,742,,236,75162,71.59%
Islington South & Finsbury,335,E14000764,Islington South & Finsbury,London,03:00,5-Friday,5-Friday 03:00,8045,26897,9569,1987,,,1136,,182,70489,67.83%
Kenilworth & Southam,339,E14000767,Kenilworth & Southam,West Midlands,03:00,5-Friday,5-Friday 03:00,30351,9440,9998,2351,,,,,457,68156,77.17%
Hull East,323,E14000771,Hull East,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,11474,12713,1707,784,,,5764,,0,65745,49.35%
Hull West & Hessle,325,E14000773,Hull West & Hessle,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,10528,13384,1756,50,,,5638,,0,60409,51.91%
Leeds East,352,E14000778,Leeds East,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,13933,19464,1796,878,,,2981,,0,67286,58.04%
Leeds West,355,E14000781,Leeds West,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,11622,22186,1787,1274,,,2685,,727,67727,59.48%
Leicester South,357,E14000783,Leicester South,East Midlands,03:00,5-Friday,5-Friday 03:00,10931,33606,2754,1669,,,1187,,0,77665,64.57%
Lewisham East,364,E14000787,Lewisham East,London,03:00,5-Friday,5-Friday 03:00,9653,26661,5039,1706,,,1234,,370,67857,65.82%
Lewisham West & Penge,365,E14000788,Lewisham West & Penge,London,03:00,5-Friday,5-Friday 03:00,10317,31860,6260,2390,,,1060,,213,74615,69.83%
Lewisham Deptford,363,E14000789,Lewisham Deptford,London,03:00,5-Friday,5-Friday 03:00,6303,39216,5774,3085,,,789,,201,80617,68.68%
Leyton & Wanstead,366,E14000790,Leyton & Wanstead,London,03:00,5-Friday,5-Friday 03:00,8028,28836,4666,1805,,,785,,427,64852,68.69%
Liverpool Riverside,370,E14000793,Liverpool Riverside,North West,03:00,5-Friday,5-Friday 03:00,4127,41170,2696,3017,,,1779,,0,80310,65.73%
Liverpool Walton,371,E14000794,Liverpool Walton,North West,03:00,5-Friday,5-Friday 03:00,4018,34538,756,814,,,,,660,62628,65.12%
Liverpool Wavertree,372,E14000795,Liverpool Wavertree,North West,03:00,5-Friday,5-Friday 03:00,4225,31310,4055,1365,,,1921,,501,63458,68.36%
Liverpool West Derby,373,E14000796,Liverpool West Derby,North West,03:00,5-Friday,5-Friday 03:00,4133,34117,1296,605,,,2012,,1826,65640,67.02%
Luton North,380,E14000800,Luton North,East,03:00,5-Friday,5-Friday 03:00,14249,23496,3063,771,,,1250,,795,68185,63.98%
Luton South,381,E14000801,Luton South,East,03:00,5-Friday,5-Friday 03:00,13031,21787,,995,,,1601,,757,69338,55.05%
Middlesbrough South & Cleveland East,395,E14000820,Middlesbrough South & Cleveland East,North East,03:00,5-Friday,5-Friday 03:00,28135,16509,1953,1220,,,,,0,72339,66.10%
Mitcham & Morden,399,E14000823,Mitcham & Morden,London,03:00,5-Friday,5-Friday 03:00,11482,27978,3717,1160,,,1202,,216,70014,65.35%
New Forest East,409,E14000827,New Forest East,South East,03:00,5-Friday,5-Friday 03:00,32769,7518,7390,2434,,,,,675,73552,69.05%
New Forest West,410,E14000828,New Forest West,South East,03:00,5-Friday,5-Friday 03:00,32113,6595,7710,3888,,,,,0,70867,70.99%
Newbury,412,E14000830,Newbury,South East,03:00,5-Friday,5-Friday 03:00,34431,4404,18384,2454,,,,,325,83414,71.93%
Newcastle-under-Lyme,413,E14000834,Newcastle-under-Lyme,West Midlands,03:00,5-Friday,5-Friday 03:00,23485,16039,2361,933,,,1921,,0,68211,65.59%
Newton Abbot,420,E14000835,Newton Abbot,South West,03:00,5-Friday,5-Friday 03:00,29190,9329,11689,1508,,,,,840,72533,72.46%
Durham North,215,E14000840,Durham North,North East,03:00,5-Friday,5-Friday 03:00,13897,18639,2879,1126,,,4693,,961,66796,63.17%
Somerset North,517,E14000850,Somerset North,South West,03:00,5-Friday,5-Friday 03:00,32801,15265,11051,2938,,,,,0,80194,77.38%
Cambridgeshire North West,121,E14000855,Cambridgeshire North West,East,03:00,5-Friday,5-Friday 03:00,40307,14324,6881,3021,,,,,0,94909,67.99%
Durham North West,216,E14000856,Durham North West,North East,03:00,5-Friday,5-Friday 03:00,19990,18846,2831,1173,,,3193,,414,72166,64.36%
Norfolk North West,423,E14000859,Norfolk North West,East,03:00,5-Friday,5-Friday 03:00,30627,10705,3625,1645,,,,,0,72080,64.65%
Norwich North,430,E14000863,Norwich North,East,03:00,5-Friday,5-Friday 03:00,23397,18659,2663,1078,,,,488,0,67172,68.91%
Norwich South,431,E14000864,Norwich South,East,03:00,5-Friday,5-Friday 03:00,15006,27766,4776,2469,,,1656,,0,77845,66.38%
Pendle,447,E14000875,Pendle,North West,03:00,5-Friday,5-Friday 03:00,24076,17890,1548,678,,,,,268,65289,68.10%
Peterborough,451,E14000878,Peterborough,East,03:00,5-Friday,5-Friday 03:00,22334,19754,2334,728,,,2127,,524,72560,65.88%
Preston,460,E14000885,Preston,North West,03:00,5-Friday,5-Friday 03:00,8724,20870,1737,660,,,1799,,0,59672,56.63%
Redcar,466,E14000891,Redcar,North East,03:00,5-Friday,5-Friday 03:00,18811,15284,2018,491,,,2915,,1323,65855,62.02%
Reigate,468,E14000893,Reigate,South East,03:00,5-Friday,5-Friday 03:00,28665,10355,10320,3169,,,,647,0,74842,71.02%
Rochdale,474,E14000897,Rochdale,North West,03:00,5-Friday,5-Friday 03:00,14807,24475,3312,986,,,3867,,0,78909,60.13%
Rochford & Southend East,476,E14000899,Rochford & Southend East,East,03:00,5-Friday,5-Friday 03:00,27063,14777,2822,,,,,,1474,75624,61.01%
Romford,477,E14000900,Romford,London,03:00,5-Friday,5-Friday 03:00,30494,12601,2708,1428,,,,,0,72350,65.28%
Saffron Walden,489,E14000910,Saffron Walden,East,03:00,5-Friday,5-Friday 03:00,39714,8305,12120,2947,,,,,0,87017,72.50%
Salford & Eccles,495,E14000911,Salford & Eccles,North West,03:00,5-Friday,5-Friday 03:00,12428,28755,3099,2060,,,4290,,0,82202,61.59%
Sedgefield,499,E14000915,Sedgefield,North East,03:00,5-Friday,5-Friday 03:00,19609,15096,1955,994,,,3518,,394,64325,64.62%
Sevenoaks,502,E14000918,Sevenoaks,South East,03:00,5-Friday,5-Friday 03:00,30932,6946,10114,1974,,,,,990,71777,70.99%
Sheffield Central,504,E14000919,Sheffield Central,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,6695,33968,3237,4570,,,1969,,474,89849,56.67%
Sheffield South East,507,E14000920,Sheffield South East,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,15070,19359,2125,,,,4478,,966,67832,61.91%
Sheffield Brightside & Hillsborough,503,E14000921,Sheffield Brightside & Hillsborough,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,10095,22369,1517,1179,,,3855,585,0,69333,57.12%
Sheffield Hallam,505,E14000922,Sheffield Hallam,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,14696,19709,18997,1630,,,1562,168,123,72763,78.18%
Sheffield Heeley,506,E14000923,Sheffield Heeley,Yorkshire and The Humber,03:00,5-Friday,5-Friday 03:00,12955,21475,2916,1811,,,3538,,0,66940,63.78%
Shrewsbury & Atcham,510,E14000926,Shrewsbury & Atcham,West Midlands,03:00,5-Friday,5-Friday 03:00,31021,19804,5906,1762,,,,,572,82237,71.82%
Sittingbourne & Sheppey,512,E14000927,Sittingbourne & Sheppey,South East,03:00,5-Friday,5-Friday 03:00,34742,10263,3213,1188,,,,,731,83917,59.75%
Cambridgeshire South,122,E14000934,Cambridgeshire South,East,03:00,5-Friday,5-Friday 03:00,31015,7803,28111,,,,,,0,87288,76.68%
Derbyshire South,186,E14000935,Derbyshire South,East Midlands,03:00,5-Friday,5-Friday 03:00,33502,14167,3924,1788,,,,,0,79365,67.26%
South Holland & The Deepings,520,E14000939,South Holland & The Deepings,East Midlands,03:00,5-Friday,5-Friday 03:00,37338,6500,3225,1613,,,,,503,75990,64.72%
South Ribble,521,E14000943,South Ribble,North West,03:00,5-Friday,5-Friday 03:00,30028,18829,3720,1207,,,,,0,75344,71.38%
Southend West,525,E14000957,Southend West,East,03:00,5-Friday,5-Friday 03:00,27555,13096,5312,,,,,,574,69043,67.40%
Southport,526,E14000958,Southport,North West,03:00,5-Friday,5-Friday 03:00,22914,18767,6499,,,,,,0,70837,68.02%
Stafford,528,E14000965,Stafford,West Midlands,03:00,5-Friday,5-Friday 03:00,29992,15615,3175,2367,,,,,0,72572,70.48%
Staffordshire Moorlands,529,E14000966,Staffordshire Moorlands,West Midlands,03:00,5-Friday,5-Friday 03:00,28192,11764,2469,1231,,,,,0,65485,66.67%
Stevenage,532,E14000968,Stevenage,East,03:00,5-Friday,5-Friday 03:00,25328,16766,4132,1457,,,,,0,71562,66.63%
Stroud,546,E14000980,Stroud,South West,03:00,5-Friday,5-Friday 03:00,31582,27742,,4954,,,1085,,567,84536,77.99%
Suffolk Coastal,548,E14000981,Suffolk Coastal,East,03:00,5-Friday,5-Friday 03:00,32958,12425,8719,2713,,,,,1493,81910,71.19%
Surrey Heath,553,E14000983,Surrey Heath,South East,03:00,5-Friday,5-Friday 03:00,34358,5407,16009,2252,,,,628,0,81349,72.10%
Sutton Coldfield,557,E14000985,Sutton Coldfield,West Midlands,03:00,5-Friday,5-Friday 03:00,31604,12332,6358,2031,,,,,0,75638,69.18%
Telford,565,E14000989,Telford,West Midlands,03:00,5-Friday,5-Friday 03:00,25546,14605,2674,,,,,,0,68921,62.14%
"Cotswolds, The",164,E14000991,"Cotswolds, The",South West,03:00,5-Friday,5-Friday 03:00,35484,7110,15270,3312,,,,,0,81939,74.66%
"Wrekin, The",640,E14000992,"Wrekin, The",West Midlands,03:00,5-Friday,5-Friday 03:00,31029,12303,4067,1491,,,,,0,70693,69.16%
Tonbridge & Malling,573,E14000997,Tonbridge & Malling,South East,03:00,5-Friday,5-Friday 03:00,35784,8286,8843,4090,,,,,0,77380,73.67%
Tunbridge Wells,580,E14001004,Tunbridge Wells,South East,03:00,5-Friday,5-Friday 03:00,30119,8098,15474,,,,,,471,74816,72.39%
Walsall North,593,E14001011,Walsall North,West Midlands,03:00,5-Friday,5-Friday 03:00,23334,11369,1236,617,,,,,0,67177,54.42%
Walsall South,594,E14001012,Walsall South,West Midlands,03:00,5-Friday,5-Friday 03:00,17416,20872,1602,634,,,1660,,288,68024,62.44%
Walthamstow,595,E14001013,Walthamstow,London,03:00,5-Friday,5-Friday 03:00,5922,36784,2874,1733,,,768,,254,70268,68.79%
Wealden,606,E14001023,Wealden,South East,03:00,5-Friday,5-Friday 03:00,37043,9377,11388,3099,,,,,0,83038,73.35%
Welwyn Hatfield,610,E14001027,Welwyn Hatfield,East,03:00,5-Friday,5-Friday 03:00,27394,16439,6602,1618,,,,,0,74892,69.50%
Suffolk West,550,E14001034,Suffolk West,East,03:00,5-Friday,5-Friday 03:00,33842,10648,4685,2262,,,,,0,80192,64.14%
Westminster North,615,E14001036,Westminster North,London,03:00,5-Friday,5-Friday 03:00,12481,23240,5593,1064,,,418,,115,65519,65.49%
Weston-Super-Mare,617,E14001038,Weston-Super-Mare,South West,03:00,5-Friday,5-Friday 03:00,31983,14862,6935,1834,,,,,0,82526,67.39%
Wimbledon,621,E14001040,Wimbledon,London,03:00,5-Friday,5-Friday 03:00,20373,12543,19745,,,,,,366,68232,77.72%
Wokingham,629,E14001048,Wokingham,South East,03:00,5-Friday,5-Friday 03:00,30734,6450,23351,1382,,,,,80,83953,73.85%
Wolverhampton South East,631,E14001050,Wolverhampton South East,West Midlands,03:00,5-Friday,5-Friday 03:00,14287,15522,1019,521,,,2094,,0,63006,53.08%
Wolverhampton South West,632,E14001051,Wolverhampton South West,West Midlands,03:00,5-Friday,5-Friday 03:00,19864,18203,2041,,,,1028,,0,60895,67.55%
Worcester,633,E14001052,Worcester,West Midlands,03:00,5-Friday,5-Friday 03:00,25856,19098,3666,1694,,,,,584,73475,69.27%
Worsley & Eccles South,637,E14001054,Worsley & Eccles South,North West,03:00,5-Friday,5-Friday 03:00,17345,20446,2510,1300,,,3224,,0,75219,59.59%
Wyre Forest,644,E14001058,Wyre Forest,West Midlands,03:00,5-Friday,5-Friday 03:00,32960,11547,4081,1973,,,,,0,78079,64.76%
Belfast East,45,N06000001,Belfast East,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,42445,66245,64.07%
Belfast North,46,N06000002,Belfast North,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,49037,72225,67.89%
Belfast South,47,N06000003,Belfast South,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,47352,69984,67.66%
Antrim East,13,N06000005,Antrim East,Northern Ireland,03:00,5-Friday,5-Friday 03:00,1043,,,685,,,,,35533,64830,57.47%
Foyle,255,N06000008,Foyle,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,47143,74346,63.41%
Ulster Mid,585,N06000010,Ulster Mid,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,44620,70449,63.34%
Antrim North,14,N06000012,Antrim North,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,44051,77134,57.11%
Antrim South,15,N06000014,Antrim South,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,42974,71711,59.93%
Down South,203,N06000015,Down South,Northern Ireland,03:00,5-Friday,5-Friday 03:00,,,,,,,,,49762,79175,62.85%
Aberdeen North,3,S14000001,Aberdeen North,Scotland,03:00,5-Friday,5-Friday 03:00,7535,4939,2846,880,20205,,1008,,0,62489,59.87%
Aberdeen South,4,S14000002,Aberdeen South,Scotland,03:00,5-Friday,5-Friday 03:00,16398,3834,5018,,20388,,,,0,65719,69.44%
Airdrie & Shotts,6,S14000003,Airdrie & Shotts,Scotland,03:00,5-Friday,5-Friday 03:00,7011,12728,1419,685,17929,,,,0,64008,62.14%
"Ayr, Carrick & Cumnock",23,S14000006,"Ayr, Carrick & Cumnock",Scotland,03:00,5-Friday,5-Friday 03:00,17943,6219,2158,,20272,,,,0,71970,64.74%
Dunfermline & Fife West,213,S14000017,Dunfermline & Fife West,Scotland,03:00,5-Friday,5-Friday 03:00,11207,13028,4262,1258,23727,,,,0,76652,69.77%
Dunbartonshire East,209,S14000018,Dunbartonshire East,Scotland,03:00,5-Friday,5-Friday 03:00,7455,4839,19523,916,19672,,,208,418,66075,80.26%
East Lothian,224,S14000020,East Lothian,Scotland,03:00,5-Friday,5-Friday 03:00,15523,17270,4071,,21156,,,493,0,81600,71.71%
Renfrewshire East,469,S14000021,Renfrewshire East,Scotland,03:00,5-Friday,5-Friday 03:00,19451,6855,4174,,24877,,,,0,72232,76.64%
Na h-Eileanan an Iar,407,S14000027,Na h-Eileanan an Iar,Scotland,03:00,5-Friday,5-Friday 03:00,3216,4093,637,,6531,,,,0,21106,68.59%
Glasgow Central,262,S14000029,Glasgow Central,Scotland,03:00,5-Friday,5-Friday 03:00,3698,13276,1952,1429,19750,,,,0,69230,57.93%
Glasgow East,263,S14000030,Glasgow East,Scotland,03:00,5-Friday,5-Friday 03:00,5709,12791,1626,,18357,,,,0,67381,57.11%
Glasgow North,264,S14000031,Glasgow North,Scotland,03:00,5-Friday,5-Friday 03:00,3806,11381,2394,1308,16982,,320,,0,57130,63.35%
Glasgow North East,265,S14000032,Glasgow North East,Scotland,03:00,5-Friday,5-Friday 03:00,3558,13363,1093,,15911,,,,0,61075,55.55%
Glasgow North West,266,S14000033,Glasgow North West,Scotland,03:00,5-Friday,5-Friday 03:00,6022,11319,2716,,19678,,,,0,63402,62.67%
Glasgow South,267,S14000034,Glasgow South,Scotland,03:00,5-Friday,5-Friday 03:00,6237,13824,2786,1251,22829,,516,,0,70891,66.92%
Glasgow South West,268,S14000035,Glasgow South West,Scotland,03:00,5-Friday,5-Friday 03:00,4224,12743,1435,,17643,,802,,0,64575,57.06%
Glenrothes,269,S14000036,Glenrothes,Scotland,03:00,5-Friday,5-Friday 03:00,6920,9477,2639,,21234,,1276,,0,65762,63.18%
Kirkcaldy & Cowdenbeath,345,S14000041,Kirkcaldy & Cowdenbeath,Scotland,03:00,5-Friday,5-Friday 03:00,9449,15325,2903,1628,16568,,1132,,0,72853,64.52%
Linlithgow & Falkirk East,369,S14000043,Linlithgow & Falkirk East,Scotland,03:00,5-Friday,5-Friday 03:00,14285,10517,4393,1184,25551,,1257,,588,87044,66.37%
Livingston,374,S14000044,Livingston,Scotland,03:00,5-Friday,5-Friday 03:00,12182,11915,3457,1421,25617,,,,0,82285,66.35%
Ayrshire North & Arran,25,S14000048,Ayrshire North & Arran,Scotland,03:00,5-Friday,5-Friday 03:00,14855,6702,2107,114,23376,,,,0,73534,64.13%
Ochil & Perthshire South,436,S14000050,Ochil & Perthshire South,Scotland,03:00,5-Friday,5-Friday 03:00,22384,4961,3204,,26882,,,382,0,78776,73.39%
Stirling,533,S14000057,Stirling,Scotland,03:00,5-Friday,5-Friday 03:00,17641,4275,2867,942,26895,,,,0,68473,76.85%
Ynys Mon,647,W07000041,Ynys Mon,Wales,03:00,5-Friday,5-Friday 03:00,12959,10991,,,,10418,2184,,0,51925,70.39%
Delyn,179,W07000042,Delyn,Wales,03:00,5-Friday,5-Friday 03:00,16756,15891,2346,,,1406,1971,,0,54552,70.34%
Alyn & Deeside,10,W07000043,Alyn & Deeside,Wales,03:00,5-Friday,5-Friday 03:00,18058,18271,2548,,,1453,2678,,0,62783,68.50%
Cardiff Central,126,W07000050,Cardiff Central,Wales,03:00,5-Friday,5-Friday 03:00,8426,25605,6298,,,,1006,,487,64037,65.31%
Cardiff North,127,W07000051,Cardiff North,Wales,03:00,5-Friday,5-Friday 03:00,19082,26064,3580,820,,1606,1311,,203,68438,76.95%
Rhondda,470,W07000052,Rhondda,Wales,03:00,5-Friday,5-Friday 03:00,4675,16115,612,438,,4069,3733,,0,50262,58.97%
Vale of Clwyd,588,W07000060,Vale of Clwyd,Wales,03:00,5-Friday,5-Friday 03:00,17270,15443,1471,,,1552,1477,,0,56649,65.69%
Montgomeryshire,402,W07000063,Montgomeryshire,Wales,03:00,5-Friday,5-Friday 03:00,20020,5585,7882,,,,,,727,48997,69.83%
Carmarthen East & Dinefwr,131,W07000067,Carmarthen East & Dinefwr,Wales,03:00,5-Friday,5-Friday 03:00,14130,8622,,,,15939,2311,,0,57407,71.42%
Brecon & Radnorshire,89,W07000068,Brecon & Radnorshire,Wales,03:00,5-Friday,5-Friday 03:00,21958,3944,14827,,,,,,590,55490,74.46%
Cynon Valley,174,W07000070,Cynon Valley,Wales,03:00,5-Friday,5-Friday 03:00,6711,15533,949,,,2562,3045,,1436,51134,59.13%
Bridgend,94,W07000073,Bridgend,Wales,03:00,5-Friday,5-Friday 03:00,18193,17036,2368,815,,2013,1811,,0,63303,66.72%
Ogmore,437,W07000074,Ogmore,Wales,03:00,5-Friday,5-Friday 03:00,9797,17602,1460,621,,2919,2991,,0,57581,61.46%
Bexleyheath & Crayford,55,E14000558,Bexleyheath & Crayford,London,03:30,5-Friday,5-Friday 03:30,25856,12753,2819,1298,,,,,520,65466,66.06%
Bromsgrove,105,E14000605,Bromsgrove,West Midlands,03:30,5-Friday,5-Friday 03:30,34408,11302,6779,1783,,,,,0,75079,72.29%
Chesterfield,144,E14000632,Chesterfield,East Midlands,03:30,5-Friday,5-Friday 03:30,16720,18171,3985,1148,,,4771,,391,70994,63.65%
Colchester,157,E14000644,Colchester,East,03:30,5-Friday,5-Friday 03:30,26917,17494,7432,1530,,,,,0,82625,64.60%
Eltham,236,E14000690,Eltham,London,03:30,5-Friday,5-Friday 03:30,17353,20550,2941,1322,,,1523,,0,64084,68.17%
Greenwich & Woolwich,278,E14000718,Greenwich & Woolwich,London,03:30,5-Friday,5-Friday 03:30,11721,30185,7253,2363,,,1228,,370,79997,66.40%
Harwich & Essex North,297,E14000734,Harwich & Essex North,East,03:30,5-Friday,5-Friday 03:30,31830,11648,5866,1945,,,,,263,74153,69.52%
Hastings & Rye,298,E14000735,Hastings & Rye,South East,03:30,5-Friday,5-Friday 03:30,26896,22853,3960,,,,,,565,80524,67.40%
Hertford & Stortford,308,E14000744,Hertford & Stortford,East,03:30,5-Friday,5-Friday 03:30,33712,14092,8596,2705,,,,681,308,82407,72.92%
Kingston & Surbiton,343,E14000770,Kingston & Surbiton,London,03:30,5-Friday,5-Friday 03:30,20614,6528,31103,1038,,,788,124,651,81975,74.23%
Leeds Central,351,E14000777,Leeds Central,Yorkshire and The Humber,03:30,5-Friday,5-Friday 03:30,11143,30413,2343,2105,,,2999,,281,90971,54.18%
