Constituency,PANO,ONSConstID,Constituency,Region,Estimated declaration time,Day,Day/Time,CON,LAB,LIBDEM,GRN,SNP,PC,BXP,UKIP,OTHER,Registered Voters,Turnout
Warrington North,599,E14001017,Warrington North,North West,04:00,5-Friday,5-Friday 04:00,19102,20611,3071,1257,,,2626,,0,72235,64.60%
Warrington South,600,E14001018,Warrington South,North West,04:00,5-Friday,5-Friday 04:00,28187,26177,5732,,,,1635,,168,86015,71.96%
Warwick & Leamington,601,E14001019,Warwick & Leamington,West Midlands,04:00,5-Friday,5-Friday 04:00,22929,23718,4995,1536,,,807,,220,76373,70.97%
Waveney,605,E14001022,Waveney,East,04:00,5-Friday,5-Friday 04:00,31778,13776,2603,2727,,,,,245,82791,61.76%
Wentworth & Dearne,611,E14001028,Wentworth & Dearne,Yorkshire and The Humber,04:00,5-Friday,5-Friday 04:00,14577,16742,1705,,,,7019,,1514,74536,55.75%
West Ham,614,E14001032,West Ham,London,04:00,5-Friday,5-Friday 04:00,9793,42181,4161,1780,,,1679,,606,97942,61.46%
Lancashire West,349,E14001033,Lancashire West,North West,04:00,5-Friday,5-Friday 04:00,19122,27458,2560,1248,,,2275,,0,73346,71.80%
Windsor,623,E14001042,Windsor,South East,04:00,5-Friday,5-Friday 04:00,31501,8147,11422,1796,,,,,376,75038,70.95%
Witham,626,E14001045,Witham,East,04:00,5-Friday,5-Friday 04:00,32876,8794,4584,3090,,,,,0,70402,70.09%
Witney,627,E14001046,Witney,South East,04:00,5-Friday,5-Friday 04:00,33856,8770,18679,,,,,,0,83845,73.12%
Woking,628,E14001047,Woking,South East,04:00,5-Friday,5-Friday 04:00,26396,8827,16629,1485,,,,600,0,75455,71.48%
Wyre & Preston North,643,E14001057,Wyre & Preston North,North West,04:00,5-Friday,5-Friday 04:00,31589,14808,4463,1729,,,,,335,75168,70.41%
Wythenshawe & Sale East,645,E14001059,Wythenshawe & Sale East,North West,04:00,5-Friday,5-Friday 04:00,13459,23855,3111,1559,,,2717,,58,76313,58.65%
Fermanagh & South Tyrone,249,N06000007,Fermanagh & South Tyrone,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,,,,,,50762,72848,69.68%
Newry & Armagh,419,N06000011,Newry & Armagh,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,,,,,,50779,81226,62.52%
Upper Bann,586,N06000017,Upper Bann,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,,,,,,50045,82887,60.38%
Tyrone West,584,N06000018,Tyrone West,Northern Ireland,04:00,5-Friday,5-Friday 04:00,,,,521,,,,,40665,66259,62.16%
"Berwickshire, Roxburgh & Selkirk",51,S14000008,"Berwickshire, Roxburgh & Selkirk",Scotland,04:00,5-Friday,5-Friday 04:00,25747,2513,4287,,20599,,,,0,74518,71.32%
"Caithness, Sutherland & Easter Ross",115,S14000009,"Caithness, Sutherland & Easter Ross",Scotland,04:00,5-Friday,5-Friday 04:00,5176,1936,11705,,11501,,1139,,0,46930,67.03%
Ayrshire Central,24,S14000010,Ayrshire Central,Scotland,04:00,5-Friday,5-Friday 04:00,16182,6583,2283,,21486,,,,0,69742,66.72%
"Coatbridge, Chryston & Bellshill",156,S14000011,"Coatbridge, Chryston & Bellshill",Scotland,04:00,5-Friday,5-Friday 04:00,6113,17056,1564,808,22680,,,,0,72943,66.11%
"Cumbernauld, Kilsyth & Kirkintilloch East",173,S14000012,"Cumbernauld, Kilsyth & Kirkintilloch East",Scotland,04:00,5-Friday,5-Friday 04:00,7380,11182,2966,,24158,,,,0,66079,69.14%
"Inverness, Nairn, Badenoch & Strathspey",331,S14000039,"Inverness, Nairn, Badenoch & Strathspey",Scotland,04:00,5-Friday,5-Friday 04:00,15807,4123,5846,1709,26247,,1078,,0,78057,70.22%
Motherwell & Wishaw,406,S14000047,Motherwell & Wishaw,Scotland,04:00,5-Friday,5-Friday 04:00,7150,14354,1675,,20622,,,619,0,68856,64.51%
Fife North East,250,S14000049,Fife North East,Scotland,04:00,5-Friday,5-Friday 04:00,5961,1707,19763,,18447,,,,0,60905,75.33%
Monmouth,401,W07000054,Monmouth,Wales,04:00,5-Friday,5-Friday 04:00,26160,16178,4909,1353,,1182,,,435,67094,74.85%
Ceredigion,135,W07000064,Ceredigion,Wales,04:00,5-Friday,5-Friday 04:00,8879,6317,6975,663,,15208,2063,,0,56250,71.30%
Merthyr Tydfil & Rhymney,393,W07000071,Merthyr Tydfil & Rhymney,Wales,04:00,5-Friday,5-Friday 04:00,6307,16913,1116,,,2446,3604,,1860,56322,57.25%
Cardiff West,129,W07000079,Cardiff West,Wales,04:00,5-Friday,5-Friday 04:00,12922,23908,2731,1133,,3864,1619,,0,68508,67.40%
Cardiff South & Penarth,128,W07000080,Cardiff South & Penarth,Wales,04:00,5-Friday,5-Friday 04:00,14645,27382,2985,1182,,2386,1999,,0,78837,64.16%
Beverley & Holderness,53,E14000556,Beverley & Holderness,Yorkshire and The Humber,04:30,5-Friday,5-Friday 04:30,33250,12802,4671,1378,,,,,1441,79683,67.19%
Bognor Regis & Littlehampton,74,E14000576,Bognor Regis & Littlehampton,South East,04:30,5-Friday,5-Friday 04:30,32521,10018,5645,1826,,,,846,367,77488,66.10%
"Chester, City of",143,E14000640,"Chester, City of",North West,04:30,5-Friday,5-Friday 04:30,20918,27082,3734,1438,,,1388,,0,76057,71.74%
Derbyshire Dales,183,E14000664,Derbyshire Dales,East Midlands,04:30,5-Friday,5-Friday 04:30,29356,11975,6627,2058,,,,,0,65060,76.88%
Yorkshire East,650,E14000683,Yorkshire East,Yorkshire and The Humber,04:30,5-Friday,5-Friday 04:30,33988,11201,4219,1675,,,,,1686,80871,65.25%
Elmet & Rothwell,235,E14000689,Elmet & Rothwell,Yorkshire and The Humber,04:30,5-Friday,5-Friday 04:30,33726,16373,5155,1775,,,,,1196,80957,71.92%
Kensington,340,E14000768,Kensington,London,04:30,5-Friday,5-Friday 04:30,16768,16618,9312,535,,,384,,145,64609,67.73%
Mansfield,390,E14000810,Mansfield,East Midlands,04:30,5-Friday,5-Friday 04:30,31484,15178,1626,,,,,,458,77131,63.20%
Dorset North,198,E14000839,Dorset North,South West,04:30,5-Friday,5-Friday 04:30,35705,6737,11404,2261,,,,,0,75956,73.87%
Dorset South,199,E14000936,Dorset South,South West,04:30,5-Friday,5-Friday 04:30,30024,12871,5432,2246,,,,,485,72924,70.02%
Uxbridge & Ruislip South,587,E14001007,Uxbridge & Ruislip South,London,04:30,5-Friday,5-Friday 04:30,25351,18141,3026,1090,,,,283,130,70369,68.24%
Weaver Vale,607,E14001024,Weaver Vale,North West,04:30,5-Friday,5-Friday 04:30,22210,22772,3300,1051,,,1380,,0,70551,71.88%
Dorset West,200,E14001031,Dorset West,South West,04:30,5-Friday,5-Friday 04:30,33589,5729,19483,2124,,,,,0,80963,75.25%
Preseli Pembrokeshire,459,W07000065,Preseli Pembrokeshire,Wales,04:30,5-Friday,5-Friday 04:30,21381,16319,1943,,,2776,,,0,59586,71.19%
Carmarthen West & Pembrokeshire South,132,W07000066,Carmarthen West & Pembrokeshire South,Wales,04:30,5-Friday,5-Friday 04:30,22183,14438,1860,,,3633,,,0,58629,71.83%
Arundel & South Downs,18,E14000534,Arundel & South Downs,South East,05:00,5-Friday,5-Friday 05:00,35566,9722,13045,2519,,,,,556,81726,75.14%
Ashfield,19,E14000535,Ashfield,East Midlands,05:00,5-Friday,5-Friday 05:00,19231,11971,1105,674,,,2501,,13498,78204,62.63%
Ashton Under Lyne,21,E14000537,Ashton Under Lyne,North West,05:00,5-Friday,5-Friday 05:00,14281,18544,1395,1208,,,3151,,0,68497,56.32%
Basingstoke,34,E14000545,Basingstoke,South East,05:00,5-Friday,5-Friday 05:00,29593,15395,6841,2138,,,,,746,82926,65.98%
Bermondsey & Old Southwark,49,E14000553,Bermondsey & Old Southwark,London,05:00,5-Friday,5-Friday 05:00,9678,31723,15597,,,,1617,,0,93313,62.82%
Bethnal Green & Bow,52,E14000555,Bethnal Green & Bow,London,05:00,5-Friday,5-Friday 05:00,6528,44052,5892,2570,,,1081,,439,88169,68.69%
Blyth Valley,73,E14000575,Blyth Valley,North East,05:00,5-Friday,5-Friday 05:00,17440,16728,2151,1146,,,3394,,0,64429,63.42%
Bolsover,75,E14000577,Bolsover,East Midlands,05:00,5-Friday,5-Friday 05:00,21791,16492,1759,758,,,4151,,470,75157,60.43%
Bradford East,85,E14000587,Bradford East,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,9681,27825,3316,662,,,2700,,0,73206,60.36%
Bradford South,86,E14000588,Bradford South,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,16044,18390,1505,983,,,2819,,0,69046,57.56%
Bradford West,87,E14000589,Bradford West,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,6717,33736,1349,813,,,1556,,90,70694,62.61%
Bridgwater & Somerset West,95,E14000595,Bridgwater & Somerset West,South West,05:00,5-Friday,5-Friday 05:00,35827,11388,7805,1877,,,,,755,85327,67.57%
Broadland,103,E14000603,Broadland,East,05:00,5-Friday,5-Friday 05:00,33934,12073,9195,1412,,,,,363,78151,72.91%
Broxtowe,107,E14000607,Broxtowe,East Midlands,05:00,5-Friday,5-Friday 05:00,26602,21271,,1806,,,,,5593,73052,75.66%
Buckingham,108,E14000608,Buckingham,South East,05:00,5-Friday,5-Friday 05:00,37035,7638,16624,,,,1286,,875,83146,76.32%
Calder Valley,116,E14000614,Calder Valley,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,29981,24207,2884,,,,,,721,79287,72.89%
Camberwell & Peckham,117,E14000615,Camberwell & Peckham,London,05:00,5-Friday,5-Friday 05:00,6478,40258,5087,3501,,,1041,,127,89042,63.44%
Camborne & Redruth,118,E14000616,Camborne & Redruth,South West,05:00,5-Friday,5-Friday 05:00,26764,18064,3504,1359,,,,,676,70250,71.70%
Cheadle,138,E14000627,Cheadle,North West,05:00,5-Friday,5-Friday 05:00,25694,6851,23358,,,,,,0,74639,74.90%
Colne Valley,158,E14000645,Colne Valley,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,29482,24379,3815,1068,,,1286,230,650,84174,72.36%
Corby,161,E14000648,Corby,East Midlands,05:00,5-Friday,5-Friday 05:00,33410,23142,3932,,,,,,0,86151,70.21%
Denton & Reddish,180,E14000661,Denton & Reddish,North West,05:00,5-Friday,5-Friday 05:00,13142,19317,1642,1124,,,3039,,324,66234,58.26%
Derby North,181,E14000662,Derby North,East Midlands,05:00,5-Friday,5-Friday 05:00,21259,18719,3450,1046,,,1908,,635,73212,64.22%
Derby South,182,E14000663,Derby South,East Midlands,05:00,5-Friday,5-Friday 05:00,15671,21690,2621,,,,2480,,0,73079,58.10%
Dewsbury,193,E14000666,Dewsbury,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,26179,24618,2406,1060,,,1874,,252,81252,69.40%
Dudley North,204,E14000671,Dudley North,West Midlands,05:00,5-Friday,5-Friday 05:00,23134,11601,1210,739,,,,,0,61936,59.23%
Worthing East & Shoreham,638,E14000682,Worthing East & Shoreham,South East,05:00,5-Friday,5-Friday 05:00,27104,19663,4127,2006,,,,,255,75195,70.69%
Eddisbury,227,E14000686,Eddisbury,North West,05:00,5-Friday,5-Friday 05:00,30095,11652,9582,1191,,,,451,0,73700,71.87%
Enfield Southgate,238,E14000692,Enfield Southgate,London,05:00,5-Friday,5-Friday 05:00,18473,22923,4344,1042,,,494,,0,65055,72.67%
Faversham & Kent Mid,247,E14000700,Faversham & Kent Mid,South East,05:00,5-Friday,5-Friday 05:00,31864,9888,6170,2103,,,,,369,73404,68.65%
Filton & Bradley Stoke,251,E14000702,Filton & Bradley Stoke,South West,05:00,5-Friday,5-Friday 05:00,26293,20647,4992,1563,,,,,257,74016,72.62%
Gravesham,275,E14000715,Gravesham,South East,05:00,5-Friday,5-Friday 05:00,29580,13999,2584,1397,,,,,0,73234,64.94%
Halesowen & Rowley Regis,282,E14000722,Halesowen & Rowley Regis,West Midlands,05:00,5-Friday,5-Friday 05:00,25607,13533,1738,934,,,,,111,68300,61.38%
Halifax,283,E14000723,Halifax,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,18927,21496,2276,946,,,2813,,0,71904,64.61%
Hampstead & Kilburn,290,E14000727,Hampstead & Kilburn,London,05:00,5-Friday,5-Friday 05:00,13892,28080,13121,1608,,,684,,0,82432,69.61%
Hazel Grove,301,E14000738,Hazel Grove,North West,05:00,5-Friday,5-Friday 05:00,21592,5508,17169,,,,,,0,65457,67.63%
Hemsworth,303,E14000740,Hemsworth,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,15280,16460,1734,916,,,5930,,1129,73726,56.22%
Holborn & St Pancras,316,E14000750,Holborn & St Pancras,London,05:00,5-Friday,5-Friday 05:00,8878,36641,7314,2746,,,1032,138,37,87236,65.09%
Keighley,338,E14000766,Keighley,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,25298,23080,2573,,,,850,,799,72778,72.27%
Kingswood,344,E14000774,Kingswood,South West,05:00,5-Friday,5-Friday 05:00,27712,16492,3421,1200,,,,,489,68972,71.50%
Leeds North East,353,E14000779,Leeds North East,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,11935,29024,5665,1931,,,1769,,176,70580,71.55%
Ludlow,379,E14000799,Ludlow,West Midlands,05:00,5-Friday,5-Friday 05:00,32185,7591,8537,1912,,,,,0,69442,72.33%
Macclesfield,382,E14000802,Macclesfield,North West,05:00,5-Friday,5-Friday 05:00,28292,17581,5684,2310,,,,,0,76216,70.68%
Maidstone & The Weald,384,E14000804,Maidstone & The Weald,South East,05:00,5-Friday,5-Friday 05:00,31220,9448,8482,2172,,,,,358,76110,67.90%
Meon Valley,391,E14000811,Meon Valley,South East,05:00,5-Friday,5-Friday 05:00,35271,5644,11716,2198,,,,,0,75737,72.39%
Derbyshire Mid,184,E14000814,Derbyshire Mid,East Midlands,05:00,5-Friday,5-Friday 05:00,29027,13642,4756,1931,,,,,0,67437,73.19%
Norfolk Mid,421,E14000816,Norfolk Mid,East,05:00,5-Friday,5-Friday 05:00,35051,12457,7739,,,,,,939,81975,68.54%
Milton Keynes North,397,E14000821,Milton Keynes North,South East,05:00,5-Friday,5-Friday 05:00,30938,24683,4991,1931,,,,,0,91535,68.33%
Morecambe & Lunesdale,404,E14000825,Morecambe & Lunesdale,North West,05:00,5-Friday,5-Friday 05:00,23925,17571,2328,938,,,,,548,67397,67.23%
"Normanton, Pontefract & Castleford",426,E14000836,"Normanton, Pontefract & Castleford",Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,17021,18297,3147,,,,8032,,1762,84527,57.09%
Derbyshire North East,185,E14000843,Derbyshire North East,East Midlands,05:00,5-Friday,5-Friday 05:00,28897,16021,3021,1278,,,,,0,72360,68.02%
Shropshire North,511,E14000849,Shropshire North,West Midlands,05:00,5-Friday,5-Friday 05:00,35444,12495,5643,1790,,,,,1141,83257,67.88%
Thanet North,567,E14000852,Thanet North,South East,05:00,5-Friday,5-Friday 05:00,30066,12877,3439,1796,,,,,0,72811,66.17%
Northampton North,427,E14000861,Northampton North,East Midlands,05:00,5-Friday,5-Friday 05:00,21031,15524,2031,953,,,,,0,59265,66.72%
Northampton South,428,E14000862,Northampton South,East Midlands,05:00,5-Friday,5-Friday 05:00,20914,16217,2482,1222,,,,,0,62172,65.68%
Oxford West & Abingdon,444,E14000874,Oxford West & Abingdon,South East,05:00,5-Friday,5-Friday 05:00,22397,4258,31340,,,,829,,0,76953,76.44%
Poplar & Limehouse,456,E14000882,Poplar & Limehouse,London,05:00,5-Friday,5-Friday 05:00,9756,38660,8832,2159,,,1493,,376,91760,66.78%
Pudsey,461,E14000886,Pudsey,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,26453,22936,3088,894,,,,,844,73212,74.05%
Somerton & Frome,519,E14000932,Somerton & Frome,South West,05:00,5-Friday,5-Friday 05:00,36230,8354,17017,3295,,,,,0,85866,75.58%
Cambridgeshire South East,123,E14000937,Cambridgeshire South East,East,05:00,5-Friday,5-Friday 05:00,32187,10492,20697,,,,,,1009,86769,74.20%
Thanet South,568,E14000948,Thanet South,South East,05:00,5-Friday,5-Friday 05:00,27084,16497,2727,1949,,,,,0,73302,65.83%
Hertfordshire South West,310,E14000951,Hertfordshire South West,East,05:00,5-Friday,5-Friday 05:00,30327,7228,6251,1466,,,,,15919,80449,76.06%
Southampton Itchen,523,E14000955,Southampton Itchen,South East,05:00,5-Friday,5-Friday 05:00,23952,19454,2503,1040,,,,472,0,72293,65.60%
Stalybridge & Hyde,531,E14000967,Stalybridge & Hyde,North West,05:00,5-Friday,5-Friday 05:00,16079,19025,1827,1411,,,3591,,435,73873,57.35%
Stockport,534,E14000969,Stockport,North West,05:00,5-Friday,5-Friday 05:00,11656,21695,5043,1403,,,1918,,0,65457,63.73%
Stoke-on-Trent Central,537,E14000972,Stoke-on-Trent Central,West Midlands,05:00,5-Friday,5-Friday 05:00,14557,13887,1116,819,,,1691,,0,55424,57.86%
Stoke-on-Trent North,538,E14000973,Stoke-on-Trent North,West Midlands,05:00,5-Friday,5-Friday 05:00,20974,14688,1268,508,,,2374,,322,84357,47.58%
Stoke-on-Trent South,539,E14000974,Stoke-on-Trent South,West Midlands,05:00,5-Friday,5-Friday 05:00,24632,13361,1611,,,,,,0,64499,61.40%
Tewkesbury,566,E14000990,Tewkesbury,South West,05:00,5-Friday,5-Friday 05:00,35728,9310,13318,2784,,,,,0,83958,72.82%
Thirsk & Malton,569,E14000993,Thirsk & Malton,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,35634,10480,6774,2263,,,,,1192,80979,69.58%
Tiverton & Honiton,572,E14000996,Tiverton & Honiton,South West,05:00,5-Friday,5-Friday 05:00,35893,11654,8807,2291,,,,968,0,82953,71.86%
Devon West & Torridge,192,E14001000,Devon West & Torridge,South West,05:00,5-Friday,5-Friday 05:00,35904,10290,10912,2077,,,,,547,79831,74.82%
Wantage,597,E14001015,Wantage,South East,05:00,5-Friday,5-Friday 05:00,34085,10181,21432,,,,,,1475,90875,73.92%
Winchester,622,E14001041,Winchester,South East,05:00,5-Friday,5-Friday 05:00,28430,2723,27445,,,,,,292,75582,77.92%
Worthing West,639,E14001055,Worthing West,South East,05:00,5-Friday,5-Friday 05:00,30475,15652,6024,2008,,,,,489,78587,69.54%
York Central,648,E14001061,York Central,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,13767,27312,4149,2107,,,1479,,691,74801,66.18%
York Outer,649,E14001062,York Outer,Yorkshire and The Humber,05:00,5-Friday,5-Friday 05:00,27324,17339,9992,,,,,,692,74673,74.12%
Argyll & Bute,17,S14000005,Argyll & Bute,Scotland,05:00,5-Friday,5-Friday 05:00,16930,3248,6832,,21040,,,,0,66525,72.23%
Banff & Buchan,27,S14000007,Banff & Buchan,Scotland,05:00,5-Friday,5-Friday 05:00,21182,1734,2280,,17064,,,,0,66655,63.40%
Dumfries & Galloway,207,S14000013,Dumfries & Galloway,Scotland,05:00,5-Friday,5-Friday 05:00,22678,4745,3133,,20873,,,,0,74580,68.96%
"Dumfriesshire, Clydesdale & Tweeddale",208,S14000014,"Dumfriesshire, Clydesdale & Tweeddale",Scotland,05:00,5-Friday,5-Friday 05:00,22611,4172,3540,,18830,,,,0,68330,71.93%
Edinburgh East,228,S14000022,Edinburgh East,Scotland,05:00,5-Friday,5-Friday 05:00,6549,12748,3289,2064,23165,,,,0,69424,68.87%
Edinburgh North & Leith,229,S14000023,Edinburgh North & Leith,Scotland,05:00,5-Friday,5-Friday 05:00,11000,13117,6635,1971,25925,,558,,138,81336,72.96%
Edinburgh South,230,S14000024,Edinburgh South,Scotland,05:00,5-Friday,5-Friday 05:00,8161,23745,3819,1357,12650,,,,0,66188,75.14%
Edinburgh South West,231,S14000025,Edinburgh South West,Scotland,05:00,5-Friday,5-Friday 05:00,12848,7478,4971,1265,24830,,625,,114,73501,70.93%
Edinburgh West,232,S14000026,Edinburgh West,Scotland,05:00,5-Friday,5-Friday 05:00,9283,4460,21766,1027,17997,,,,0,72507,75.21%
Gordon,271,S14000037,Gordon,Scotland,05:00,5-Friday,5-Friday 05:00,23066,3052,5913,,23885,,,,0,79629,70.22%
"Ross, Skye & Lochaber",479,S14000055,"Ross, Skye & Lochaber",Scotland,05:00,5-Friday,5-Friday 05:00,6900,2448,9820,,19263,,710,,728,54229,73.52%
Aberdeenshire West & Kincardine,5,S14000058,Aberdeenshire West & Kincardine,Scotland,05:00,5-Friday,5-Friday 05:00,22752,2431,6253,,21909,,,,0,72640,73.44%
Barrow & Furness,31,E14000543,Barrow & Furness,North West,05:30,5-Friday,5-Friday 05:30,23876,18087,2025,703,,,1355,,0,70158,65.63%
Chipping Barnet,148,E14000636,Chipping Barnet,London,05:30,5-Friday,5-Friday 05:30,25745,24533,5932,1288,,,,,71,79960,72.00%
Finchley & Golders Green,252,E14000703,Finchley & Golders Green,London,05:30,5-Friday,5-Friday 05:30,24162,13347,17600,,,,,,0,77573,71.04%
Hendon,304,E14000741,Hendon,London,05:30,5-Friday,5-Friday 05:30,26878,22648,4628,921,,,,,0,82661,66.63%
Chatham & Aylesford,137,E14000626,Chatham & Aylesford,South East,06:00,5-Friday,5-Friday 06:00,28856,10316,2866,1090,,,,,212,73305,59.12%
Devizes,187,E14000665,Devizes,South West,06:00,5-Friday,5-Friday 06:00,32150,7838,8157,2809,,,,,0,73379,69.44%
Devon East,189,E14000678,Devon East,South West,06:00,5-Friday,5-Friday 06:00,32577,2870,1771,711,,,,,275,86841,43.99%
Gillingham & Rainham,261,E14000711,Gillingham & Rainham,South East,06:00,5-Friday,5-Friday 06:00,28173,13054,2503,1043,,,,837,348,73549,62.49%
Sussex Mid,555,E14000817,Sussex Mid,South East,06:00,5-Friday,5-Friday 06:00,33455,11218,15258,2234,,,,,597,85140,73.72%
Richmond Park,473,E14000896,Richmond Park,London,06:00,5-Friday,5-Friday 06:00,26793,3407,34559,,,,,,61,82696,78.38%
Rochester & Strood,475,E14000898,Rochester & Strood,South East,06:00,5-Friday,5-Friday 06:00,31151,14079,3717,1312,,,,1080,587,82056,63.28%
Skipton & Ripon,513,E14000928,Skipton & Ripon,Yorkshire and The Humber,06:00,5-Friday,5-Friday 06:00,34919,11225,8701,2748,,,,,1131,78673,74.64%
Southampton Test,524,E14000956,Southampton Test,South East,06:00,5-Friday,5-Friday 06:00,16043,22256,3449,1433,,,1591,,222,70113,64.17%
Twickenham,581,E14001005,Twickenham,London,06:00,5-Friday,5-Friday 06:00,22045,5476,36166,,,,816,,0,84901,75.97%
Wansbeck,596,E14001014,Wansbeck,North East,06:00,5-Friday,5-Friday 06:00,16310,17124,2539,1217,,,3141,,178,63339,63.96%
Wells,609,E14001026,Wells,South West,06:00,5-Friday,5-Friday 06:00,33336,4304,23345,,,,,,580,84124,73.18%
Orkney & Shetland,441,S14000051,Orkney & Shetland,Scotland,06:00,5-Friday,5-Friday 06:00,2287,1550,10381,,7874,,900,,168,34211,67.70%
Brighton Kemptown,97,E14000597,Brighton Kemptown,South East,07:00,5-Friday,5-Friday 07:00,16972,25033,2964,2237,,,1327,,0,69833,69.50%
Brighton Pavilion,98,E14000598,Brighton Pavilion,South East,07:00,5-Friday,5-Friday 07:00,10176,13211,,33151,,,770,177,513,79057,73.36%
Hove,321,E14000755,Hove,South East,07:00,5-Friday,5-Friday 07:00,15832,32876,3731,2496,,,1111,,345,74313,75.88%
Truro & Falmouth,579,E14001003,Truro & Falmouth,South West,07:00,5-Friday,5-Friday 07:00,27237,22676,7150,1714,,,,,413,76719,77.15%
St Ives,494,E14000964,St Ives,South West,08:00,5-Friday,5-Friday 08:00,25365,3553,21081,954,,,,,446,68795,74.70%
St Austell & Newquay,491,E14000961,St Austell & Newquay,South West,09:00,5-Friday,5-Friday 09:00,31273,14747,5861,1609,,,,,2286,79930,69.78%
Cornwall North,162,E14000837,Cornwall North,South West,10:00,5-Friday,5-Friday 10:00,30671,4516,15919,,,,,,572,69935,73.89%
Cornwall South East,163,E14000938,Cornwall South East,South West,10:00,5-Friday,5-Friday 10:00,31807,10836,8650,1493,,,,,869,71825,74.70%
